"Origin","Carrier","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","TotalDelay"
"DEN","NK",867,41,2143,0,718,3769
"DEN","OO",8856,2455,9643,50,7879,28883
"DEN","UA",10774,3487,19069,0,15922,49252
"DEN","VX",209,134,895,13,166,1417
"DEN","WN",9998,1654,13773,0,16301,41726
"DFW","AA",36496,3253,22947,9,22832,85537
"DFW","AS",68,0,196,0,421,685
"DFW","B6",425,0,148,0,265,838
"DFW","DL",244,91,90,0,240,665
"DFW","EV",7777,0,1391,0,3350,12518
"DFW","F9",26,0,52,0,199,277
"DFW","NK",452,0,1226,0,532,2210
"DFW","OO",2697,29,1937,0,1183,5846
"DFW","UA",1166,0,1248,0,1524,3938
"DHN","EV",771,0,72,0,327,1170
"DLH","OO",0,13,84,0,235,332
"DRO","EV",13,0,11,0,143,167
"DRO","OO",845,11,142,0,74,1072
"DSM","AA",398,0,113,0,55,566
"DSM","DL",146,0,72,0,92,310
"DSM","EV",628,82,168,0,31,909
"DSM","F9",296,0,111,0,151,558
"DSM","OO",375,15,239,0,642,1271
"DSM","UA",595,49,170,0,35,849
"DSM","WN",26,2,136,0,64,228
"DTW","AA",2008,47,682,0,423,3160
"DTW","AS",6,0,112,0,0,118
"DTW","B6",167,54,144,117,414,896
"DTW","DL",7646,1640,9298,19,3207,21810
"DTW","EV",5667,0,626,0,2384,8677
"DTW","F9",328,0,32,0,178,538
"DTW","NK",3679,112,2978,8,1836,8613
"DTW","OO",9127,2242,1830,0,6440,19639
"DTW","UA",280,0,528,0,329,1137
"DTW","WN",507,108,721,0,668,2004
"DVL","OO",961,127,67,0,305,1460
"EAU","OO",294,0,611,0,188,1093
"ECP","DL",48,0,60,0,331,439
"ECP","EV",226,0,856,0,368,1450
"ECP","WN",245,69,25,0,237,576
"EGE","AA",1023,178,476,0,4287,5964
"EGE","DL",0,8,3,0,4,15
"EGE","OO",0,0,0,0,37,37
"EGE","UA",43,0,264,0,1162,1469
"EKO","OO",715,0,88,4,66,873
"ELM","EV",3,0,7,0,10,20
"ELP","AA",331,27,65,0,428,851
"ELP","DL",51,0,29,0,25,105
"ELP","EV",35,0,66,0,272,373
"ELP","OO",119,0,94,0,32,245
"ELP","WN",430,114,573,0,1897,3014
"ERI","EV",346,0,73,0,44,463
"ERI","OO",242,0,104,0,278,624
"ESC","OO",197,0,72,0,294,563
"EUG","OO",209,0,549,0,1020,1778
"EUG","UA",559,0,2076,0,468,3103
"EVV","DL",0,0,17,0,0,17
"EVV","EV",185,0,518,0,282,985
"EVV","OO",0,0,37,0,32,69
"EWN","EV",681,0,29,0,80,790
"EWR","AA",1596,487,1179,2,3028,6292
"EWR","AS",74,6,504,0,1205,1789
"EWR","B6",3437,53,1312,7,7499,12308
"EWR","DL",932,87,483,0,1733,3235
"EWR","EV",11395,300,6041,0,11369,29105
"EWR","NK",43,0,1929,0,64,2036
"EWR","OO",897,0,148,0,707,1752
"EWR","UA",16883,4083,12351,33,22745,56095
"EWR","VX",425,768,2973,0,469,4635
"EWR","WN",447,146,973,0,1488,3054
"EYW","DL",21,0,0,0,519,540
"EYW","EV",1195,0,24,0,941,2160
"FAI","AS",185,52,402,0,624,1263
"FAR","DL",154,6,100,0,0,260
"FAR","EV",1842,15,52,0,143,2052
"FAR","OO",0,0,221,0,164,385
"FAT","AA",93,0,7,0,485,585
"FAT","OO",3669,196,2577,0,3291,9733
"FAY","DL",104,0,15,0,24,143
"FAY","EV",0,0,17,0,479,496
"FCA","DL",0,170,75,0,0,245
"FCA","OO",1541,15,344,0,518,2418
"FLG","OO",0,0,71,0,44,115
"FLL","AA",760,0,853,0,1586,3199
"FLL","AS",330,98,202,0,91,721
"FLL","B6",12972,528,8428,101,10390,32419
"FLL","DL",941,6,1437,0,1982,4366
"FLL","F9",79,0,34,0,137,250
"FLL","NK",3774,33,5318,102,2121,11348
"FLL","UA",1187,0,2167,0,2331,5685
"FLL","VX",1080,353,2100,0,792,4325
"FLL","WN",3276,22,1296,15,6322,10931
"FNT","DL",263,0,0,0,0,263
"FNT","EV",0,119,77,0,332,528
"FNT","OO",614,0,89,0,481,1184
"FNT","WN",25,120,21,0,277,443
"FSD","DL",0,267,15,0,0,282
"FSD","EV",323,0,152,0,409,884
"FSD","OO",387,1,210,0,436,1034
"FSD","UA",0,0,192,0,0,192
"FSM","EV",44,0,56,0,441,541
"FWA","EV",0,0,15,0,0,15
"FWA","OO",3012,12,254,0,2179,5457
"GCC","OO",276,0,190,0,152,618
"GCK","EV",78,0,46,0,29,153
"GEG","AA",41,0,83,0,0,124
"GEG","AS",218,124,565,0,534,1441
"GEG","DL",127,127,132,0,171,557
"GEG","OO",1593,553,566,0,1422,4134
"GEG","UA",584,0,269,0,45,898
"GEG","WN",98,18,430,0,610,1156
"GFK","OO",322,0,16,0,240,578
"GJT","OO",312,18,84,0,411,825
"GNV","DL",617,0,71,0,15,703
"GNV","EV",699,0,291,0,1368,2358
"GPT","DL",31,0,146,0,225,402
"GPT","EV",383,0,236,0,194,813
"GRB","DL",0,14,57,0,0,71
"GRB","EV",987,0,308,0,298,1593
"GRB","OO",271,41,386,0,1171,1869
"GRI","EV",30,0,38,0,23,91
"GRK","EV",419,26,420,0,298,1163
"GRR","DL",852,160,76,0,518,1606
"GRR","EV",1413,315,709,0,681,3118
"GRR","OO",18,0,425,0,722,1165
"GRR","UA",203,0,125,0,228,556
"GRR","WN",211,227,376,0,211,1025
"GSO","DL",652,0,67,0,62,781
"GSO","EV",652,0,782,0,656,2090
"GSP","DL",1095,0,227,0,1,1323
"GSP","EV",541,0,398,0,588,1527
"GSP","OO",18,0,42,0,13,73
"GSP","WN",24,0,223,0,161,408
"GTF","OO",37,0,106,0,251,394
"GTR","EV",182,0,151,0,357,690
"GUC","AA",0,0,9,0,639,648
"GUM","UA",299,0,11,0,0,310
"HDN","AA",16,0,102,0,201,319
"HDN","DL",447,27,67,0,354,895
"HDN","OO",189,2,638,0,679,1508
"HDN","UA",170,26,20,0,79,295
"HIB","OO",366,0,79,22,183,650
"HLN","OO",500,13,151,0,24,688
"HNL","AA",939,0,177,0,442,1558
"HNL","AS",531,4,201,0,1290,2026
"HNL","DL",392,0,142,0,757,1291
"HNL","HA",8888,1194,620,0,10586,21288
"HNL","UA",1734,209,204,0,1851,3998
"HNL","VX",55,0,0,0,18,73
"HOB","EV",9,41,0,0,105,155
"HOU","B6",109,15,191,0,457,772
"HOU","DL",536,2,40,0,240,818
"HOU","EV",10,0,6,0,121,137
"HOU","WN",8426,1557,5673,0,8461,24117
"HPN","B6",2152,70,672,4,2074,4972
"HPN","EV",533,0,103,0,963,1599
"HRL","EV",5,0,21,0,95,121
"HRL","WN",306,102,237,0,431,1076
"HSV","DL",253,53,23,0,2,331
"HSV","EV",63,0,145,0,124,332
"HYS","OO",49,0,30,0,125,204
"IAD","AA",562,184,332,0,1201,2279
"IAD","AS",0,0,116,0,120,236
"IAD","B6",282,0,389,0,462,1133
"IAD","DL",1207,0,117,0,481,1805
"IAD","F9",3,0,22,0,178,203
"IAD","OO",30,0,0,0,0,30
"IAD","UA",5110,474,6386,0,5175,17145
"IAD","VX",48,448,1788,0,89,2373
"IAD","WN",11,0,361,0,219,591
"IAG","NK",91,0,1273,0,141,1505
"IAH","AA",1657,128,720,0,3623,6128
"IAH","AS",5,0,92,0,208,305
"IAH","DL",288,0,144,0,318,750
"IAH","EV",10508,1567,5638,0,7209,24922
"IAH","F9",108,0,135,0,295,538
"IAH","NK",1051,192,1360,0,894,3497
"IAH","OO",3703,323,970,0,3037,8033
"IAH","UA",11401,1831,14410,0,11458,39100
"ICT","AA",15,0,0,0,0,15
"ICT","EV",175,0,365,0,575,1115
"ICT","OO",589,0,48,0,863,1500
"ICT","UA",113,0,0,0,171,284
"ICT","WN",73,0,19,0,44,136
"IDA","OO",808,0,400,0,542,1750
"IFP","OO",20,0,102,0,399,521
"ILM","AA",0,0,87,0,113,200
"ILM","EV",358,0,39,0,259,656
"ILM","OO",1409,0,25,0,270,1704
"IMT","OO",1131,0,56,0,259,1446
"IND","AA",621,0,397,0,981,1999
"IND","DL",242,0,269,0,188,699
"IND","EV",584,61,831,0,502,1978
"IND","F9",40,0,60,0,113,213
"IND","OO",0,229,32,0,379,640
"IND","UA",321,0,48,0,195,564
"IND","WN",667,282,1124,0,1927,4000
"INL","OO",214,0,67,0,182,463
"ISN","OO",954,0,18,0,18,990
"ISP","WN",801,391,454,0,622,2268
"ITH","OO",183,0,134,0,313,630
"ITO","HA",596,487,265,0,3428,4776
"ITO","UA",0,0,0,0,58,58
"JAC","AA",81,0,99,0,1780,1960
"JAC","DL",640,213,379,0,924,2156
"JAC","OO",1451,65,1894,0,1166,4576
"JAC","UA",278,1421,1058,0,1913,4670
"JAN","DL",250,0,65,0,130,445
"JAN","EV",23,83,1236,0,385,1727
"JAX","AA",176,0,186,0,427,789
"JAX","B6",758,64,1042,0,1008,2872
"JAX","DL",778,0,240,0,325,1343
"JAX","EV",274,0,0,0,0,274
"JAX","UA",1628,0,577,0,605,2810
"JAX","WN",503,45,207,0,301,1056
"JFK","AA",6448,1324,9888,44,3298,21002
"JFK","AS",68,5,235,0,329,637
"JFK","B6",13103,3519,10570,102,11666,38960
"JFK","DL",5921,6964,10108,0,3933,26926
"JFK","HA",131,916,0,0,0,1047
"JFK","VX",778,1770,3193,12,397,6150
"JMS","OO",155,18,45,0,1473,1691
