"","Origin","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","TotalDelay","DLdelay","EVdelay","OOdelay","AAdelay","ASdelay","B6delay","F9delay","HAdelay","NKdelay","UAdelay","VXdelay","WNdelay"
"93","EWN",681,0,29,0,80,790,0,790,0,0,0,0,0,0,0,0,0,0
"94","EWR",36129,5930,27893,42,50307,120301,3235,29105,1752,6292,1789,12308,0,0,2036,56095,4635,3054
"95","EYW",1216,0,24,0,1460,2700,540,2160,0,0,0,0,0,0,0,0,0,0
"96","FAI",185,52,402,0,624,1263,0,0,0,0,1263,0,0,0,0,0,0,0
"97","FAR",1996,21,373,0,307,2697,260,2052,385,0,0,0,0,0,0,0,0,0
"98","FAT",3762,196,2584,0,3776,10318,0,0,9733,585,0,0,0,0,0,0,0,0
"99","FAY",104,0,32,0,503,639,143,496,0,0,0,0,0,0,0,0,0,0
"100","FCA",1541,185,419,0,518,2663,245,0,2418,0,0,0,0,0,0,0,0,0
"101","FLG",0,0,71,0,44,115,0,0,115,0,0,0,0,0,0,0,0,0
"102","FLL",24399,1040,21835,218,25752,73244,4366,0,0,3199,721,32419,250,0,11348,5685,4325,10931
"103","FNT",902,239,187,0,1090,2418,263,528,1184,0,0,0,0,0,0,0,0,443
"104","FSD",710,268,569,0,845,2392,282,884,1034,0,0,0,0,0,0,192,0,0
"105","FSM",44,0,56,0,441,541,0,541,0,0,0,0,0,0,0,0,0,0
"106","FWA",3012,12,269,0,2179,5472,0,15,5457,0,0,0,0,0,0,0,0,0
"107","GCC",276,0,190,0,152,618,0,0,618,0,0,0,0,0,0,0,0,0
"108","GCK",78,0,46,0,29,153,0,153,0,0,0,0,0,0,0,0,0,0
"109","GEG",2661,822,2045,0,2782,8310,557,0,4134,124,1441,0,0,0,0,898,0,1156
"110","GFK",322,0,16,0,240,578,0,0,578,0,0,0,0,0,0,0,0,0
"111","GJT",312,18,84,0,411,825,0,0,825,0,0,0,0,0,0,0,0,0
"112","GNV",1316,0,362,0,1383,3061,703,2358,0,0,0,0,0,0,0,0,0,0
"113","GPT",414,0,382,0,419,1215,402,813,0,0,0,0,0,0,0,0,0,0
"114","GRB",1258,55,751,0,1469,3533,71,1593,1869,0,0,0,0,0,0,0,0,0
"115","GRI",30,0,38,0,23,91,0,91,0,0,0,0,0,0,0,0,0,0
"116","GRK",419,26,420,0,298,1163,0,1163,0,0,0,0,0,0,0,0,0,0
"117","GRR",2697,702,1711,0,2360,7470,1606,3118,1165,0,0,0,0,0,0,556,0,1025
"118","GSO",1304,0,849,0,718,2871,781,2090,0,0,0,0,0,0,0,0,0,0
"119","GSP",1678,0,890,0,763,3331,1323,1527,73,0,0,0,0,0,0,0,0,408
"120","GTF",37,0,106,0,251,394,0,0,394,0,0,0,0,0,0,0,0,0
"121","GTR",182,0,151,0,357,690,0,690,0,0,0,0,0,0,0,0,0,0
"122","GUC",0,0,9,0,639,648,0,0,0,648,0,0,0,0,0,0,0,0
"123","GUM",299,0,11,0,0,310,0,0,0,0,0,0,0,0,0,310,0,0
"124","HDN",822,55,827,0,1313,3017,895,0,1508,319,0,0,0,0,0,295,0,0
"125","HIB",366,0,79,22,183,650,0,0,650,0,0,0,0,0,0,0,0,0
"126","HLN",500,13,151,0,24,688,0,0,688,0,0,0,0,0,0,0,0,0
"127","HNL",12539,1407,1344,0,14944,30234,1291,0,0,1558,2026,0,0,21288,0,3998,73,0
"128","HOB",9,41,0,0,105,155,0,155,0,0,0,0,0,0,0,0,0,0
